objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,demo_001.pdf,,Information: A Very Short Introduction,Deborah Morley; Charles S. Parker,2015,,LIS 51: information,,,,,,Text,application/pdf,eng,,
demo_002,demo_002.pdf,,Introduction to Communication Studies,John Fiske,1990,,Comm 3; communication studies,,,,,,Text,application/pdf,eng,,
demo_003,demo_003.pdf,,"Elementary Differential Equations, Sixth Edition",Earl D. Rainville; Phillip E. Bedient,1981,,Math 122; differential equations,,,,,,Text,application/pdf,eng,,
demo_004,demo_004.pdf,,As we may think: Information literacy as a discipline for the information age,Bill Johnston; Sheila Webber,9/15/2006,,LIS 71; information literacy,,,,,,Text,application/pdf,eng,,
